name,average,total_points,rank_average,rank_total,gp,pts,treb,ast,stl,blk,fgm,ftm,to,dd,td,draft_order,diff_average,diff_total
Caleb Martin,22.6,1604.6,192,156,71,9.6,4.8,1.6,1,0.4,3.6,1.3,1.1,0,0,NA,NA,NA
Cameron Johnson,31.6,1327.2,108,177,42,15.5,4.4,1.9,1.2,0.3,5.3,2.4,0.9,0,0,NA,NA,NA
Cameron Payne,22.5,1080,193,189,48,10.3,2.2,4.5,0.7,0.2,3.9,1,1.7,0.1,0,NA,NA,NA
Caris LeVert,26.9,1990.6,147,119,74,12.1,3.8,3.9,1,0.3,4.3,1.8,1.6,0,0,99,48,20
Chris Boucher,23.2,1763.2,183,143,76,9.4,5.5,0.4,0.6,0.8,3.4,1.7,0.5,0.1,0,NA,NA,NA
Chris Paul,37.8,2230.2,74,98,59,13.9,4.3,8.9,1.5,0.4,5,2.3,1.9,0.3,0,62,12,36
Christian Wood,37,2479,79,76,67,16.6,7.3,1.8,0.4,1.1,5.9,3.2,1.8,0.2,0,59,20,17
CJ McCollum,42.1,3157.5,51,33,75,20.9,4.4,5.7,0.9,0.5,7.8,2.4,2.4,0.1,0,51,0,-18
Clint Capela,36,2340,87,88,65,12,11,0.9,0.7,1.2,5.4,1.2,0.8,0.5,0,104,-17,-16
Cole Anthony,29.5,1770,121,142,60,13,4.8,3.9,0.6,0.5,4.6,2.5,1.5,0,0,NA,NA,NA
Collin Sexton,27.3,1310.4,141,181,48,14.3,2.2,2.9,0.6,0.1,4.9,3.4,1.8,0,0,48,93,133
D'Angelo Russell,36.5,2591.5,85,67,71,17.8,3,6.2,1,0.4,6.3,2.5,2.6,0.1,0,82,3,-15
Damian Lillard,63.3,3671.4,7,15,58,32.2,4.8,7.3,0.9,0.3,9.6,8.8,3.3,0.3,0,13,-6,2
Daniel Gafford,23.8,1856.4,169,134,78,9,5.6,1.1,0.4,1.3,3.7,1.6,1.1,0.1,0,NA,NA,NA
Darius Garland,44.9,3098.1,39,38,69,21.6,2.7,7.8,1.2,0.1,7.6,4,2.9,0.3,0,43,-4,-5
De'Aaron Fox,50.6,3693.8,28,13,73,25,4.2,6.1,1.1,0.3,9.3,4.7,2.5,0.2,0,40,-12,-27
De'Andre Hunter,29.7,1989.9,119,120,67,15.4,4.2,1.4,0.5,0.3,5.7,2.6,1.2,0,0,NA,NA,NA
De'Anthony Melton,24.2,1863.4,167,132,77,10.1,4.1,2.6,1.6,0.5,3.6,0.9,1.3,0,0,NA,NA,NA
Deandre Ayton,43.3,2901.1,46,46,67,18,10,1.7,0.6,0.8,7.8,2.3,1.8,0.5,0,41,5,5
Dejounte Murray,44.2,3270.8,42,28,74,20.5,5.3,6.1,1.5,0.3,8.3,2.1,2.2,0.1,0,18,24,10
Delon Wright,22,1100,198,188,50,7.4,3.6,3.9,1.8,0.3,2.8,1,0.9,0,0,NA,NA,NA
